user_pseudo_id,hostname,event_label,event_timestamp,user_first_touch_timestamp
993623505.1626502578,hubmapconsortium.github.io,249_327_412_756,1626502583975773,1626502578946611
993623505.1626502578,hubmapconsortium.github.io,272_414_412_756,1626502589408858,1626502578946611
993623505.1626502578,hubmapconsortium.github.io,244_659_412_756,1626502590847977,1626502578946611
993623505.1626502578,hubmapconsortium.github.io,360_688_412_756,1626502595380991,1626502578946611
993623505.1626502578,hubmapconsortium.github.io,272_433_412_756,1626502606134744,1626502578946611
993623505.1626502578,hubmapconsortium.github.io,315_509_412_756,1626502606134744,1626502578946611
993623505.1626502578,hubmapconsortium.github.io,90_266_412_756,1626502606134744,1626502578946611
993623505.1626502578,hubmapconsortium.github.io,308_97_412_429,1626502612045124,1626502578946611
993623505.1626502578,hubmapconsortium.github.io,289_343_412_429,1626502612045124,1626502578946611
993623505.1626502578,hubmapconsortium.github.io,249_621_412_756,1626502624946258,1626502578946611
993623505.1626502578,hubmapconsortium.github.io,71_295_412_429,1626502631772195,1626502578946611
993623505.1626502578,hubmapconsortium.github.io,374_313_412_429,1626502631772195,1626502578946611
993623505.1626502578,hubmapconsortium.github.io,49_340_412_429,1626502637733195,1626502578946611
993623505.1626502578,hubmapconsortium.github.io,49_188_412_756,1626502643906238,1626502578946611
993623505.1626502578,hubmapconsortium.github.io,284_733_412_756,1626502643906238,1626502578946611
1856408243.1620312950,ingest.hubmapconsortium.org,1401_26_1480_812,1628093297152837,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,432_219_1468_812,1628093297152837,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,167_428_1468_812,1628093297152837,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,130_269_1468_812,1628093302962368,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,132_212_1468_812,1628093302962368,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,1415_319_1468_812,1628093302962368,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,455_318_1468_812,1628093302962368,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,753_480_1480_812,1628093308829735,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,145_264_1480_812,1628093308829735,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,170_264_1480_812,1628093308829735,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,123_272_1480_812,1628093308829735,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,1473_200_1480_812,1628093314753412,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,496_321_1468_812,1628093314753412,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,73_399_1468_812,1628093329450565,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,1202_511_1468_812,1628093329450565,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,137_320_1468_812,1628093329450565,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,131_220_1468_812,1628093329450565,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,8_194_1468_812,1628093338483854,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,558_318_1480_812,1628093338483854,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,143_310_1480_812,1628093338483854,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,40_248_1480_812,1628093338483854,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,26_146_1480_812,1628093355042700,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,8_294_1480_812,1628093355042700,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,992_310_1480_812,1628093355042700,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,1070_3_1480_812,1628093380330789,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,1100_3_1480_812,1628095467057652,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,9_7_1480_812,1628095573043793,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,168_352_1484_813,1628106476831301,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,341_205_1484_813,1628106476831301,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,204_205_1473_813,1628106476831301,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,275_77_1473_813,1628106476831301,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,192_224_1473_813,1628106482747364,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,159_419_1473_813,1628106482747364,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,129_261_1473_813,1628106482747364,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,1397_515_1473_813,1628106490580462,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,485_299_1473_813,1628106490580462,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,203_337_1473_813,1628106490580462,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,221_555_1473_813,1628106490580462,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,58_424_1473_813,1628106490580462,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,194_187_1473_813,1628106495986201,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,37_228_1473_813,1628106495986201,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,1448_741_1473_813,1628106495986201,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,560_322_1484_813,1628106501441283,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,346_0_1484_813,1628106501441283,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,500_53_1473_813,1628106501441283,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,102_538_1473_813,1628106651864464,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,45_550_1473_813,1628106659020743,1628016706891891
1856408243.1620312950,ingest.hubmapconsortium.org,387_354_1473_813,1628106659020743,1628016706891891
