user_pseudo_id,hostname,page_location,event_date,user_first_touch_timestamp,event_timestamp,event_name,event_category,event_label
1225205968.1625311852,60e04a6afcacb65603e558ae--hubmap-ccf-ui.netlify.app,https://60e04a6afcacb65603e558ae--hubmap-ccf-ui.netlify.app/,20210703,1625311855484163,1625311855484163,first_visit,,
1225205968.1625311852,60e04a6afcacb65603e558ae--hubmap-ccf-ui.netlify.app,https://60e04a6afcacb65603e558ae--hubmap-ccf-ui.netlify.app/,20210703,1625311855484163,1625311855484163,session_start,,
1225205968.1625311852,60e04a6afcacb65603e558ae--hubmap-ccf-ui.netlify.app,https://60e04a6afcacb65603e558ae--hubmap-ccf-ui.netlify.app/,20210703,1625311855484163,1625311855484163,page_view,,
1225205968.1625311852,60e04a6afcacb65603e558ae--hubmap-ccf-ui.netlify.app,https://60e04a6afcacb65603e558ae--hubmap-ccf-ui.netlify.app/,20210703,1625311855484163,1625311868964146,page_view,,
1225205968.1625311852,60e04a6afcacb65603e558ae--hubmap-ccf-ui.netlify.app,https://60e04a6afcacb65603e558ae--hubmap-ccf-ui.netlify.app/,20210703,1625311855484163,1625311868964146,scroll,,
1818329040.1627679559,610439ebed4e0b080e6f1b2f--hubmap-ccf-ui.netlify.app,https://610439ebed4e0b080e6f1b2f--hubmap-ccf-ui.netlify.app/,20210730,1627679562299698,1627679562299698,first_visit,,
1818329040.1627679559,610439ebed4e0b080e6f1b2f--hubmap-ccf-ui.netlify.app,https://610439ebed4e0b080e6f1b2f--hubmap-ccf-ui.netlify.app/,20210730,1627679562299698,1627679562299698,session_start,,
1818329040.1627679559,610439ebed4e0b080e6f1b2f--hubmap-ccf-ui.netlify.app,https://610439ebed4e0b080e6f1b2f--hubmap-ccf-ui.netlify.app/,20210730,1627679562299698,1627679562299698,page_view,,
1818329040.1627679559,610439ebed4e0b080e6f1b2f--hubmap-ccf-ui.netlify.app,https://610439ebed4e0b080e6f1b2f--hubmap-ccf-ui.netlify.app/,20210730,1627679562299698,1627679567736004,scroll,,
1818329040.1627679559,610439ebed4e0b080e6f1b2f--hubmap-ccf-ui.netlify.app,https://610439ebed4e0b080e6f1b2f--hubmap-ccf-ui.netlify.app/,20210730,1627679562299698,1627679624774530,nodes_selected_by_ids,ontology_tree,body
1818329040.1627679559,610439ebed4e0b080e6f1b2f--hubmap-ccf-ui.netlify.app,https://610439ebed4e0b080e6f1b2f--hubmap-ccf-ui.netlify.app/,20210730,1627679562299698,1627679624774530,nodes_selected,ontology_tree,body
317905254.1627664290,61042fa0c6933400f0bc7fb0--hubmap-ccf-ui.netlify.app,https://61042fa0c6933400f0bc7fb0--hubmap-ccf-ui.netlify.app/,20210730,1627664292714955,1627664292714955,first_visit,,
317905254.1627664290,61042fa0c6933400f0bc7fb0--hubmap-ccf-ui.netlify.app,https://61042fa0c6933400f0bc7fb0--hubmap-ccf-ui.netlify.app/,20210730,1627664292714955,1627664292714955,session_start,,
